productReference;Brand;IDTECDOC;EAN;Name;Description;Stock;price;Currency;priceeurop;Currency.1
1000-010-590;jrone;6662;1000000132397.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-598;jrone;6662;1000000132398.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-609;jrone;6662;1000000132399.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-611;jrone;6662;1000000132400.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-631;jrone;6662;1000000132401.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-650T;jrone;6662;1000000132402.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-698;jrone;6662;1000000132403.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-730;jrone;6662;1000000132404.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-012-001T;jrone;6662;1000000132405.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-020-005;jrone;6662;1000000132406.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-020-117;jrone;6662;1000000132407.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-020-126;jrone;6662;1000000132408.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-020-144D;jrone;6662;1000000132409.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-020-190;jrone;6662;1000000132410.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-030-100;jrone;6662;1000000132411.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-030-115;jrone;6662;1000000132412.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-030-199T;jrone;6662;1000000132413.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-030-221T;jrone;6662;1000000132414.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-030-240T;jrone;6662;1000000132415.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-030-243T;jrone;6662;1000000132416.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-030-290;jrone;6662;1000000132417.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-030-296T;jrone;6662;1000000132418.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
