ID_Product,Quantity,Quantity_Fourniss_After_Cumule,available
G01109W,1,1,1
G01110W,1,1,1
G01115G,1,1,1
G01118B,1,1,1
G01120G,1,1,1
G01123H,1,1,1
G01124M,1,1,1
G01125E,1,1,1
G01129G,1,1,1
G01136G,1,1,1
G01137A,1,1,1
G01138B,1,1,1
G01140H,1,1,1
G01141B,1,1,1
G01145B,1,1,1
G01147H,1,1,1
G01148G,1,1,1
G01150G,1,1,1
G01151A,1,1,1
G01156A,1,1,1
G01157P,1,1,1
G01158B,1,1,1
G01159G,1,1,1
G01160H,1,1,1
G01161P,1,1,1
G01162R,1,1,1
G01163A,1,1,1
G01163M,1,1,1
G01164E,1,1,1
G01167B,1,1,1
G01175B,1,1,1
G01187W,1,1,1
G01188R,1,1,1
G01193G,1,1,1
G01194S,0,0,0
G01199B,1,1,1
G01200V,1,1,1
G01202B,1,1,1
G01206A,1,1,1
G01207N,1,1,1
G01210A,1,1,1
G01211B,1,1,1
G01214A,1,1,1
G01215W,1,1,1
G01216B,1,1,1
G01218A,0,0,0
G01220S,0,0,0
G01221A,1,1,1
G01222W,1,1,1
G01223V,1,1,1
G01224V,0,0,0
G01229B,1,1,1
G01230B,1,1,1
G01233B,1,1,1
G01234B,1,1,1
G01235B,1,1,1
G01239P,1,1,1
G01240R,1,1,1
G01242P,1,1,1
G01244G,1,1,1
G01246B,1,1,1
G01250B,1,1,1
G01258R,1,1,1
G01260M,1,1,1
G01262R,0,0,0
G01263R,1,1,1
G01268N,1,1,1
G01269R,1,1,1
G01271G,0,0,0
G01272A,1,1,1
G01273R,1,1,1
G01275A,1,1,1
G01278G,1,1,1
G01279B,1,1,1
G01280G,1,1,1
G01286R,1,1,1
G01292W,1,1,1
G01301A,1,1,1
G01304M,0,0,0
G01312A,1,1,1
G01313M,0,0,0
G01315W,1,1,1
G01319A,1,1,1
G01331R,1,1,1
G01332A,1,1,1
G01339E,1,1,1
G01341E,1,1,1
G01342M,1,1,1
G01343E,1,1,1
G01344E,1,1,1
G01357M,1,1,1
G01361A,1,1,1
G01362G,1,1,1
G01366G,1,1,1
G01367V,1,1,1
G01370B,1,1,1
G01370G,1,1,1
G01372P,1,1,1
G01373R,0,0,0
G01374R,1,1,1
G01375R,1,1,1
G01376E,1,1,1
G01379B,1,1,1
G01380B,1,1,1
G01391B,1,1,1
G01392V,1,1,1
G01393V,1,1,1
G01397P,1,1,1
G01398G,1,1,1
G01400A,1,1,1
G01405G,1,1,1
G01406S,1,1,1
G01411V,1,1,1
G01412G,1,1,1
G01413G,1,1,1
G01415H,1,1,1
G01416V,1,1,1
G01417V,1,1,1
G01419A,1,1,1
G01420R,1,1,1
G01425E,1,1,1
G01427H,1,1,1
G01430V,1,1,1
G01433V,1,1,1
G01434V,1,1,1
G01435A,1,1,1
G01438S,0,0,0
G01439P,1,1,1
G01460R,1,1,1
G01464V,1,1,1
G01466V,1,1,1
G01468M,1,1,1
G01469R,1,1,1
G01472G,1,1,1
G01473G,0,0,0
G01479A,1,1,1
G01479B,1,1,1
G01480A,1,1,1
G01480B,1,1,1
G01481A,1,1,1
G01482A,1,1,1
G01483A,1,1,1
G01496P,1,1,1
G01499P,1,1,1
G01511V,1,1,1
G01519A,1,1,1
G01544E,0,0,0
G01551M,1,1,1
G01552W,1,1,1
G01553S,1,1,1
G01554S,1,1,1
G01555S,1,1,1
G01556S,1,1,1
G01562V,1,1,1
G01564S,1,1,1
G01565S,0,0,0
G01567A,1,1,1
G01575E,1,1,1
G01576V,1,1,1
G01582S,0,0,0
G01592AC,0,0,0
G01593AC,1,1,1
G01594R,1,1,1
G01594S,0,0,0
G01596AC,1,1,1
G01597AC,0,0,0
G01605S,1,1,1
G01607S,1,1,1
G01610R,1,1,1
G01611R,0,0,0
G01613R,1,1,1
G01615R,1,1,1
G01617R,1,1,1
G01619R,1,1,1
G01620R,0,0,0
G01622R,1,1,1
G01623R,1,1,1
G01626R,0,0,0
G01627R,1,1,1
G01628R,1,1,1
G01656R,1,1,1
G01660G,1,1,1
G01679V,1,1,1
G01687R,1,1,1
G01688R,0,0,0
G01689R,1,1,1
G01693R,1,1,1
G01694R,0,0,0
G01704R,0,0,0
G01713R,0,0,0
G01718W,1,1,1
G01721W,0,0,0
G01722S,1,1,1
G01728AC,0,0,0
G01733S,1,1,1
G01734S,1,1,1
G01735S,1,1,1
G01770A,0,0,0
G01874B,1,1,1
G01927R,1,1,1
G01928R,1,1,1
G01929R,1,1,1
G01930R,1,1,1
G01931R,1,1,1
G01932R,1,1,1
G01933R,1,1,1
G01937P,1,1,1
G01945V,1,1,1
G01947V,1,1,1
G01948P,1,1,1
G01948V,1,1,1
G01949V,1,1,1
G01955M,1,1,1
G01972M,1,1,1
G01973E,1,1,1
G01974M,1,1,1
G01975E,1,1,1
G01976M,1,1,1
G01977M,1,1,1
G01978M,1,1,1
G01979M,1,1,1
G01980W,0,0,0
G01981M,0,0,0
G01989E,1,1,1
G01989V,1,1,1
G01990M,1,1,1
G01991E,0,0,0
G01992B,1,1,1
G01992M,1,1,1
G01994E,1,1,1
G01995V,1,1,1
G01996W,0,0,0
G02004R,1,1,1
G02005R,1,1,1
G02010V,1,1,1
G02011B,1,1,1
G02011V,1,1,1
G02012E,1,1,1
G02012V,0,0,0
G02013V,1,1,1
G02014V,1,1,1
G02017B,1,1,1
G02019B,1,1,1
G02020B,1,1,1
G02021B,1,1,1
G02021S,1,1,1
G02022B,0,0,0
G02023B,1,1,1
G02023S,1,1,1
G02024B,1,1,1
G02024S,1,1,1
G02025S,1,1,1
G02026S,1,1,1
G02027B,1,1,1
G02027S,1,1,1
G02028S,1,1,1
G02030B,1,1,1
G02033B,1,1,1
G02034B,1,1,1
G02037B,1,1,1
G02040B,1,1,1
G02044B,1,1,1
G02045B,1,1,1
G02046B,1,1,1
G02047B,1,1,1
G02048B,1,1,1
G02050B,1,1,1
G02055B,1,1,1
G02059B,1,1,1
G02061E,1,1,1
G02063B,1,1,1
G02083S,1,1,1
G02086A,1,1,1
G02094V,1,1,1
G02097V,1,1,1
G02099V,1,1,1
G02101V,1,1,1
G02102V,1,1,1
G02103V,1,1,1
G02107V,1,1,1
G02108V,0,0,0
G02109S,0,0,0
G02110W,1,1,1
G02112W,0,0,0
G02113B,1,1,1
G02114W,1,1,1
G02115W,1,1,1
G02116E,0,0,0
G02116S,0,0,0
G02117S,1,1,1
G02118S,1,1,1
G02119S,1,1,1
G02119V,1,1,1
G02121S,1,1,1
G02121V,1,1,1
