ID_Product,Quantity,Quantity_Fourniss_After_Cumule
1047001,18,18
1047002,23,23
10472,391,391
104735,94,94
10474,175,175
104740,2,2
10476,169,169
104760,1,1
10477,9,9
10478,5,5
10479,6,6
10480,6,6
10481,0,0
10482,3,3
10495,1,1
10496,47,47
10498,3,3
10554,313,313
10575,2,2
10576,2,2
10579,1,1
10580,1,1
105800,8,8
105801,9,9
105802,3,3
105803,5,5
105804,6,6
105805,5,5
106190,52,52
106191,7,7
10630,35,35
1063C,1,1
106420,13,13
10661,4,4
1068,1,1
106800,51,51
106801,12,12
106802,50,50
106803,1,1
10701,10,10
10775,10,10
10776,5,5
10777,2,2
10778,0,0
10799,6,6
10812,914,914
10813,472,472
1085C,6,6
10868,124,124
10877,158,158
10901,2,2
10926,175,175
1093G,0,0
109573,0,0
10972,4,4
1099101,2,2
1101131,2,2
1101381,0,0
1101391,7,7
1101401,4,4
1101411,18,18
1101441,4,4
1101451,0,0
1102302,0,0
1102312,1,1
1102801,2,2
1107D025FR,14,14
1108D1FR,12,12
1110T,3,3
1112,2,2
1112051,2,2
1112061,0,0
1112091,5,5
1112111,4,4
1112311,4,4
111246,4,4
1112481,2,2
111269,6,6
111271,1,1
1112731,1,1
111282,1,1
111283,1,1
111289,1,1
111290,1,1
111321,3,3
111690,5,5
111700,2,2
11172,2,2
11173,1,1
111730,0,0
11175,0,0
11176,1,1
11178,1,1
11275,0,0
11276,0,0
113040,5,5
113100,1,1
113840,3,3
113850,4,4
114130,5,5
114200,2,2
114240,6,6
114250,3,3
114280,8,8
120018,2,2
12010,2,2
12011,1,1
120575,1,1
121001,1,1
121051,1,1
121052,1,1
121099,0,0
121775,3,3
121776,0,0
1217G,3,3
1226,1,1
123076,1,1
123690,1,1
1236G,0,0
124140,58,58
124160,2,2
124430,6,6
125004,2,2
125025,131,131
125073,1,1
125074,1,1
125075,0,0
125076,1,1
125079,1,1
125080,1,1
1252590,4,4
1253C,1,1
126040,9,9
126075,1,1
126210,11,11
1267G,1,1
1268G,5,5
127051,1,1
127052,1,1
127066,4,4
13009033,0,0
13009034,0,0
13009037,0,0
13009038,0,0
130465,1,1
130475,0,0
130476,0,0
1309G,3,3
131075,1,1
131077,2,2
131079,3,3
131081,2,2
131098,16,16
131099,6,6
131213,7,7
131214,6,6
1312491,2,2
131258,8,8
131262,1,1
131267,0,0
131268,1,1
131272,4,4
131281,2,2
131282,3,3
131283,6,6
131284,5,5
131289,1,1
131290,0,0
1319G,2,2
1320G,76,76
132110,3,3
132112,222,222
132114,0,0
132116,6,6
132118,396,396
132120,100,100
132122,0,0
132124,500,500
132126,100,100
132210,900,900
132214,100,100
132260,6,6
1322G,8,8
1324G,22,22
133066,4,4
134051,1,1
134052,0,0
134065,2,2
134066,3,3
134067,5,5
134074,0,0
134099,0,0
1340G,2,2
134973,11,11
134974,8,8
134981,1,1
1349900,4,4
1349901,5,5
1349902,8,8
1349903,5,5
1349904,4,4
1349905,17,17
135098,15,15
135099,7,7
1353G,0,0
13601002,16,16
136069,1,1
136070,2,2
136071,7,7
136072,6,6
136075,13,13
136076,15,15
136078,4,4
136080,2,2
136175,0,0
136176,1,1
136178,0,0
1361G,1,1
136271,1,1
136273,1,1
136350,17,17
136355,4,4
136360,15,15
136576,1,1
136771,1,1
136772,1,1
136809,1,1
136813,1,1
136837,31,31
136868,18,18
136869,9,9
136872,1,1
136876,1,1
136877,4,4
136879,1,1
136898,2,2
136899,9,9
13689900,2,2
13689901,4,4
137671,1,1
137674,0,0
137675,1,1
1379900,4,4
139099,5,5
14008,44,44
1401F05FR,31,31
14136,328,328
1417G,4,4
1418G,0,0
14194,232,232
1422G,2,2
