platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Storm,stock_eminia trading
Alzura,102580,1,3,2,20250811_165946,0,0,0,0,0,3,0
Alzura,10285,0,5,5,20250811_165946,0,0,0,0,0,5,0
Alzura,102864,5,6,1,20250811_165946,0,0,6,0,0,0,0
Alzura,102997,1,8,7,20250811_165946,0,0,0,0,0,8,0
Alzura,102998,1,76,75,20250811_165946,0,0,0,0,0,76,0
Alzura,102999,1,63,62,20250811_165946,0,0,0,0,0,63,0
Alzura,103147,12,10,-2,20250811_165946,0,0,10,0,0,0,0
Alzura,103240,38,36,-2,20250811_165946,0,0,36,0,0,0,0
Alzura,103282,4,1,-3,20250811_165946,0,0,1,0,0,0,0
Alzura,103283,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,103288,2,4,2,20250811_165946,0,0,4,0,0,0,0
Alzura,103289,19,16,-3,20250811_165946,0,0,16,0,0,0,0
Alzura,103309,18,22,4,20250811_165946,0,0,22,0,0,0,0
Alzura,103314,29,27,-2,20250811_165946,0,0,27,0,0,0,0
Alzura,103375,32,31,-1,20250811_165946,0,0,31,0,0,0,0
Alzura,103391,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,103411,9,8,-1,20250811_165946,0,0,8,0,0,0,0
Alzura,103418,4,1,-3,20250811_165946,0,0,1,0,0,0,0
Alzura,103480,70,63,-7,20250811_165946,0,0,63,0,0,0,0
Alzura,103577,3,4,1,20250811_165946,0,0,4,0,0,0,0
Alzura,103587,2,7,5,20250811_165946,0,0,7,0,0,0,0
Alzura,103591,10,12,2,20250811_165946,0,0,12,0,0,0,0
Alzura,103694,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,103731,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,103737,67,68,1,20250811_165946,0,0,68,0,0,0,0
Alzura,103738,12,8,-4,20250811_165946,0,0,8,0,0,0,0
Alzura,103750,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,103769,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,103777,5,6,1,20250811_165946,0,0,6,0,0,0,0
Alzura,103819,4,1,-3,20250811_165946,0,0,1,0,0,0,0
Alzura,103914,56,54,-2,20250811_165946,0,0,54,0,0,0,0
Alzura,103924,8,3,-5,20250811_165946,0,0,3,0,0,0,0
Alzura,104040,1,52,51,20250811_165946,0,0,0,0,0,52,0
Alzura,104110,6,5,-1,20250811_165946,0,0,5,0,0,0,0
Alzura,104113,11,12,1,20250811_165946,0,0,12,0,0,0,0
Alzura,104114,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,104115,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,104120,5,2,-3,20250811_165946,0,0,2,0,0,0,0
Alzura,104121,4,5,1,20250811_165946,0,0,5,0,0,0,0
Alzura,104122,36,35,-1,20250811_165946,0,0,35,0,0,0,0
Alzura,104143,40,35,-5,20250811_165946,0,0,35,0,0,0,0
Alzura,104153,5,4,-1,20250811_165946,0,0,4,0,0,0,0
Alzura,1042001,0,5,5,20250811_165946,0,0,0,0,0,5,0
Alzura,104221,1,3,2,20250811_165946,0,0,3,0,0,0,0
Alzura,104225,2,4,2,20250811_165946,0,0,4,0,0,0,0
Alzura,104263,20,1,-19,20250811_165946,0,0,1,0,0,0,0
Alzura,104264,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,104267,4,1,-3,20250811_165946,0,0,1,0,0,0,0
Alzura,104271,15,12,-3,20250811_165946,0,0,12,0,0,0,0
Alzura,104388,3,1,-2,20250811_165946,0,0,1,0,0,0,0
Alzura,104392,8,6,-2,20250811_165946,0,0,6,0,0,0,0
Alzura,104398,4,2,-2,20250811_165946,0,0,2,0,0,0,0
Alzura,104426,11,8,-3,20250811_165946,0,0,8,0,0,0,0
Alzura,104433,62,58,-4,20250811_165946,0,0,58,0,0,0,0
Alzura,104457,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,104487,3,1,-2,20250811_165946,0,0,1,0,0,0,0
Alzura,104496,12,16,4,20250811_165946,0,0,16,0,0,0,0
Alzura,104563,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,104588,1,4,3,20250811_165946,0,0,4,0,0,0,0
Alzura,104604,4,2,-2,20250811_165946,0,0,2,0,0,0,0
Alzura,104626,3,1,-2,20250811_165946,0,0,1,0,0,0,0
Alzura,104648,8,6,-2,20250811_165946,0,0,6,0,0,0,0
Alzura,104661,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,104735,1,94,93,20250811_165946,0,0,0,0,0,94,0
Alzura,104740,1,2,1,20250811_165946,0,0,0,0,0,2,0
Alzura,10495,0,1,1,20250811_165946,0,0,0,0,0,1,0
Alzura,105494,6,3,-3,20250811_165946,0,0,3,0,0,0,0
Alzura,105756,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,105769,63,62,-1,20250811_165946,0,0,62,0,0,0,0
Alzura,105800,1,8,7,20250811_165946,0,0,0,0,0,8,0
Alzura,105801,2,9,7,20250811_165946,0,0,2,0,0,7,0
Alzura,105802,1,3,2,20250811_165946,0,0,0,0,0,3,0
Alzura,105803,1,5,4,20250811_165946,0,0,1,0,0,4,0
Alzura,105804,2,6,4,20250811_165946,0,0,2,0,0,4,0
Alzura,105805,2,5,3,20250811_165946,0,0,2,0,0,3,0
Alzura,105839,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,105881,5,2,-3,20250811_165946,0,0,2,0,0,0,0
Alzura,106010,5,4,-1,20250811_165946,0,0,4,0,0,0,0
Alzura,106116,8,6,-2,20250811_165946,0,0,6,0,0,0,0
Alzura,106168,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,106190,1,52,51,20250811_165946,0,0,0,0,0,52,0
Alzura,106191,1,7,6,20250811_165946,0,0,0,0,0,7,0
Alzura,106233,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,106292,1,4,3,20250811_165946,0,0,4,0,0,0,0
Alzura,106296,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,106329,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,106334,2,3,1,20250811_165946,0,0,3,0,0,0,0
Alzura,1113501300,222,221,-1,20250811_165946,0,0,0,221,0,0,0
Alzura,1114113000,95,94,-1,20250811_165946,0,0,0,94,0,0,0
Alzura,1114208300,16,15,-1,20250811_165946,0,0,0,15,0,0,0
Alzura,1115203000,135,134,-1,20250811_165946,0,0,0,134,0,0,0
Alzura,1115203600,113,111,-2,20250811_165946,0,0,0,111,0,0,0
Alzura,1115203680,100,99,-1,20250811_165946,0,0,0,99,0,0,0
Alzura,1119902200,99,98,-1,20250811_165946,0,0,0,98,0,0,0
Alzura,1140109000,80,83,3,20250811_165946,0,0,0,83,0,0,0
Alzura,1161800300,105,104,-1,20250811_165946,0,0,0,104,0,0,0
Alzura,1162000280,169,168,-1,20250811_165946,0,0,0,168,0,0,0
Alzura,1181226070,40,38,-2,20250811_165946,0,0,0,38,0,0,0
Alzura,1181226080,40,37,-3,20250811_165946,0,0,0,37,0,0,0
Alzura,1193803900,62,61,-1,20250811_165946,0,0,0,61,0,0,0
Alzura,1198200500,25,23,-2,20250811_165946,0,0,0,23,0,0,0
Alzura,120018,1,2,1,20250811_165946,0,0,0,0,0,2,0
Alzura,12101077,3,10,7,20250811_165946,0,10,0,0,0,0,0
Alzura,1230402410,6,7,1,20250811_165946,0,0,0,7,0,0,0
Alzura,1230409710,14,15,1,20250811_165946,0,0,0,15,0,0,0
Alzura,1262000880,48,47,-1,20250811_165946,0,0,0,47,0,0,0
Alzura,132118,0,396,396,20250811_165946,0,0,0,0,0,396,0
Alzura,132124,0,500,500,20250811_165946,0,0,0,0,0,500,0
Alzura,132260,0,6,6,20250811_165946,0,0,0,0,0,6,0
Alzura,1340101170,74,75,1,20250811_165946,0,0,0,75,0,0,0
Alzura,1340101180,130,131,1,20250811_165946,0,0,0,131,0,0,0
Alzura,1340670080,3,2,-1,20250811_165946,0,0,0,0,2,0,0
Alzura,1445100800,20,19,-1,20250811_165946,0,0,0,19,0,0,0
Alzura,144608957R,0,1,1,20250811_165946,0,0,0,0,1,0,0
Alzura,150024,1,2,1,20250811_165946,0,0,0,0,0,2,0
Alzura,15180,1,0,-1,20250811_165946,0,0,0,0,0,0,0
Alzura,1593900500,14,13,-1,20250811_165946,0,0,0,13,0,0,0
Alzura,17254,0,1,1,20250811_165946,0,0,0,0,0,1,0
Alzura,199033,1,5,4,20250811_165946,0,0,0,0,0,5,0
